,state,capacity_gwh
0,Washington,717890.1427604363
1,Idaho,2027236.9318545924
2,Montana,5590725.553099964
3,Maine,679862.9129839784
4,Minnesota,1266019.5712365624
5,North Dakota,2350002.9955372685
6,Oregon,2312594.3766899696
7,Michigan,1081503.6065475927
8,New Hampshire,79215.50182693402
9,Wisconsin,909510.5115480137
10,Vermont,65612.4512330312
11,New York,538652.0449074929
12,South Dakota,3998990.5310065798
13,Wyoming,4996114.0137946755
14,Massachusetts,57748.38558383685
15,California,2725490.4218421374
16,Rhode Island,10156.459371850186
17,Nevada,5847724.15672435
18,Connecticut,30930.679502114683
19,Iowa,361667.9875549894
20,Pennsylvania,390368.7008012684
21,Nebraska,4524423.062713428
22,Utah,3691612.3884371244
23,New Jersey,50623.85307747791
24,Ohio,334229.37593434204
25,Illinois,640155.7246126208
26,Indiana,470437.3668500696
27,Colorado,4317689.510524956
28,West Virginia,83113.42636286459
29,Delaware,21148.08788512064
30,Maryland,87373.3234617968
31,Missouri,1982597.5176073047
32,Virginia,745215.1081116614
33,D.C.,46.01083123034293
34,Kansas,1930917.9056123772
35,Kentucky,447731.13789092156
36,Arizona,8806107.031261189
37,North Carolina,882757.6128874625
38,New Mexico,11144215.629462939
39,Tennessee,709205.9072232585
40,Oklahoma,2679556.3738184026
41,Texas,19531581.964357972
42,Arkansas,1314681.3677004892
43,South Carolina,932456.4115341796
44,Georgia,1860949.6311733061
45,Alabama,1704112.4690737207
46,Mississippi,1613280.9403230706
47,Louisiana,1151364.0447782173
48,Florida,1349008.433765681
