,state,capacity_gwh
0,Washington,8069559.804203637
1,Idaho,12072492.270705756
2,Montana,21675452.240837727
3,Maine,3857094.2899490763
4,Minnesota,9712616.316325381
5,North Dakota,10930142.614417303
6,Oregon,14928733.292821292
7,Michigan,6447441.262972964
8,New Hampshire,1207321.659558262
9,Wisconsin,6762430.514948411
10,Vermont,1293691.5310112932
11,New York,5820111.562078764
12,South Dakota,13211816.944021951
13,Wyoming,15924526.41305029
14,Massachusetts,998496.140571173
15,California,20661926.559565
16,Rhode Island,124574.09407767587
17,Nevada,17777717.72837878
18,Connecticut,659389.2700676913
19,Iowa,9716145.701804843
20,Pennsylvania,6606612.91451289
21,Nebraska,14536853.201011382
22,Utah,12785070.687409027
23,New Jersey,747691.1405421256
24,Ohio,6436655.137125495
25,Illinois,9441020.2693726
26,Indiana,5891142.906237187
27,Colorado,16014927.024625361
28,West Virginia,3474213.3179196436
29,Delaware,220861.8812031275
30,Maryland,1273020.9891208895
31,Missouri,12018144.085598506
32,Virginia,6253453.258684291
33,D.C.,7534.4235776783535
34,Kansas,16462572.661177393
35,Kentucky,6764109.792859641
36,Arizona,22203087.08493747
37,North Carolina,7187884.704626087
38,New Mexico,25278110.775373615
39,Tennessee,6582752.282799806
40,Oklahoma,13481587.493354492
41,Texas,53311109.401872575
42,Arkansas,8165725.457057184
43,South Carolina,4213568.3194183875
44,Georgia,8564083.165420093
45,Alabama,8216302.953554438
46,Mississippi,6964235.300877116
47,Louisiana,4900868.726150844
48,Florida,6159831.933084549
