,state,capacity_gwh
0,Washington,1827550.4998929077
1,Idaho,3667942.933804824
2,Montana,10711202.041370016
3,Maine,1523055.3268375285
4,Minnesota,2302279.241996538
5,North Dakota,4186109.8591340245
6,Oregon,4787322.018228573
7,Michigan,2634967.7994191786
8,New Hampshire,390248.88448957464
9,Wisconsin,2429330.783017606
10,Vermont,319061.7085701184
11,New York,1824340.813593218
12,South Dakota,6992847.326808874
13,Wyoming,8630692.55650876
14,Massachusetts,296532.79950230045
15,California,5815162.386076373
16,Rhode Island,45242.17305208272
17,Nevada,9284317.744587196
18,Connecticut,184280.05138755144
19,Iowa,1246438.2998929014
20,Pennsylvania,1716053.8669966976
21,Nebraska,7708108.636435259
22,Utah,6234798.62687969
23,New Jersey,187383.59232526328
24,Ohio,1343651.4175397952
25,Illinois,1509883.6291801531
26,Indiana,1292465.3514256673
27,Colorado,7740128.212420187
28,West Virginia,510946.395532032
29,Delaware,47155.41715499317
30,Maryland,282075.52784411353
31,Missouri,5308876.660797463
32,Virginia,2123482.76821194
33,D.C.,696.2675222564452
34,Kansas,4890447.921904054
35,Kentucky,1872767.1525705718
36,Arizona,13304470.93834401
37,North Carolina,1964318.6812457973
38,New Mexico,17878065.57183606
39,Tennessee,2317945.505986404
40,Oklahoma,6161915.425614312
41,Texas,31888663.14527143
42,Arkansas,3204927.3267877917
43,South Carolina,2103168.935787605
44,Georgia,4095773.7396887
45,Alabama,4373570.124344032
46,Mississippi,3676826.244473883
47,Louisiana,2190624.363248713
48,Florida,2723949.3247594596
