,state,capacity_gwh
0,Washington,382906.545177485
1,Idaho,532284.9447910341
2,Montana,1974302.499642814
3,Maine,186125.55620217122
4,North Dakota,893753.6719996084
5,Minnesota,871982.9196485109
6,Oregon,695184.5618603632
7,Michigan,139070.27375984887
8,New Hampshire,37152.43969023359
9,Wisconsin,158156.2561500792
10,Vermont,30139.385683219196
11,New York,80809.56144173522
12,South Dakota,1195533.444905386
13,Wyoming,1213418.8285609162
14,California,303930.95619967463
15,Massachusetts,2507.0315248583997
16,Nevada,435044.2353736189
17,Connecticut,681.7426609967999
18,Iowa,553408.2802020526
19,Pennsylvania,135910.6729394471
20,Nebraska,1230726.8255091263
21,Utah,558743.4544034987
22,New Jersey,1211.3519667048
23,Illinois,262585.44535958633
24,Indiana,111343.31121096722
25,Ohio,24924.8136039912
26,Colorado,782240.7695562952
27,Maryland,2751.9597819503997
28,Missouri,184133.56319364943
29,West Virginia,24739.386109344006
30,Virginia,48265.21830597115
31,Kansas,638925.2552347211
32,Kentucky,39831.423590332815
33,Arizona,953373.2743849845
34,North Carolina,67874.97736404721
35,New Mexico,1430282.518111061
36,Tennessee,50460.93704280959
37,Oklahoma,432487.31936457625
38,Texas,2614248.7457605125
39,Arkansas,264330.2187767377
40,South Carolina,42031.23818027759
41,Georgia,105451.72387955284
42,Alabama,164430.923427468
43,Mississippi,178541.39516794556
44,Louisiana,131652.2168589888
45,Florida,35892.1079709192
