,state,capacity_gwh
0,Washington,774741.8458791813
1,Idaho,999755.889812095
2,Montana,2761275.9941451927
3,Maine,669611.4349006581
4,Minnesota,1777841.0685779324
5,North Dakota,1705270.9871823108
6,Oregon,1198556.4169261716
7,Michigan,1184098.259610397
8,New Hampshire,166396.2578894089
9,Vermont,171751.612410612
10,Wisconsin,1119789.8872582826
11,New York,847817.6334305401
12,South Dakota,1815207.279286283
13,Wyoming,1757000.3903817963
14,Massachusetts,130014.87416444877
15,California,1245107.2580551468
16,Rhode Island,17117.1816646176
17,Nevada,1178251.9432878229
18,Connecticut,74395.0526683104
19,Iowa,1362083.8924707344
20,Pennsylvania,786835.901014675
21,Nebraska,1919589.804460046
22,Utah,901180.8127089278
23,New Jersey,93841.37476703998
24,Ohio,739131.0304279746
25,Illinois,1137100.9489001993
26,Indiana,711007.7665954675
27,Colorado,1318286.7560132383
28,West Virginia,376263.01925208047
29,Delaware,35410.7158116408
30,Maryland,170553.7809294263
31,Missouri,1461441.4004343024
32,Virginia,604851.6200611896
33,Kansas,2085280.800208507
34,Kentucky,667444.5009726405
35,Arizona,1247504.3349239593
36,North Carolina,732935.2689536035
37,New Mexico,1916216.2255601424
38,Tennessee,610206.8350303364
39,Oklahoma,1670236.8592704828
40,Texas,5522210.229014491
41,Arkansas,876323.0375765567
42,South Carolina,430339.5248031503
43,Georgia,788108.950341857
44,Alabama,720775.0024314912
45,Mississippi,727386.6531099523
46,Louisiana,578323.9560119472
47,Florida,557023.9344193802
